theta_array,theta_org,x_array,y_array,xi_x_array,xi_y_array,fmpi_x_array,fmpi_y_array
3.92536764671307+0i,1.56023831415154+0i,-3.84821151755231+0i,-3.78265937559244+0i,0,-0,-0.0708253603889981+0i,-0.0705958095482199+0i
3.94676391031429+0i,1.5602257950544+0i,-3.91751029532867+0i,-3.85475430883121+0i,0,0,-0.0692987777763531+0i,-0.0720949332387765+0i
3.93194688963205+0i,1.56021655937099+0i,-3.9878696592052+0i,-3.92581456435348+0i,-0,0,-0.0703593638765303+0i,-0.0710602555222679+0i
3.90953749423606+0i,1.56020348540433+0i,-4.0598036413391+0i,-3.99528039922473+0i,-0,-0,-0.0719339821339037+0i,-0.0694658348712461+0i
3.96060028067698+0i,1.56019385312049+0i,-4.12809828539492+0i,-4.0683272444221+0i,-0,0,-0.0682946440558201+0i,-0.073046845197372+0i
3.96162799492599+0i,1.56018673264172+0i,-4.19631782211402+0i,-4.14144423841003+0i,-0,-0,-0.0682195367190988+0i,-0.0731169939879337+0i
3.92025688993308+0i,1.56017584543768+0i,-4.2675030539733+0i,-4.21167715636978+0i,-0,-0,-0.0711852318592779+0i,-0.0702329179597491+0i
3.93425174096225+0i,1.5601585896663+0i,-4.33769844778404+0i,-4.28289939087387+0i,-0,-0,-0.0701953938107409+0i,-0.0712222345040858+0i
3.89260738992836+0i,1.56014723844887+0i,-4.41079812865071+0i,-4.35113747889802+0i,-0,-0,-0.0730996808666692+0i,-0.0682380880241462+0i
3.91215360789051+0i,1.56014210961503+0i,-4.48255013431301+0i,-4.42079126331377+0i,0,-0,-0.0717520056623059+0i,-0.0696537844157547+0i
3.93993106142555+0i,1.56012551609401+0i,-4.55233990434239+0i,-4.4924110091891+0i,-0,0,-0.0697897700293744+0i,-0.0716197458753313+0i
3.90690431706627+0i,1.56011369864772+0i,-4.624456552734+0i,-4.56168718853497+0i,-0,0,-0.0721166483916117+0i,-0.0692761793458665+0i
3.95300671886346+0i,1.56010370270489+0i,-4.69330390819379+0i,-4.634213333105+0i,-0,0,-0.0688473554597903+0i,-0.0725261445700327+0i
3.94511720870817+0i,1.56009349480724+0i,-4.76272131080268+0i,-4.70619405423945+0i,-0,-0,-0.0694174026088876+0i,-0.0719807211344511+0i
3.91227013641647+0i,1.56008020049441+0i,-4.83446519932502+0i,-4.77585619933773+0i,0,0,-0.0717438885223426+0i,-0.069662145098279+0i
3.91963384827058+0i,1.56006825742968+0i,-4.90569417539906+0i,-4.84604475230361+0i,-0,-0,-0.0712289760740411+0i,-0.0701885529658767+0i
