X,Y,Theta
-15.0616655481729,30.5765688893538,2.76247248706384
-15.1180390298289,30.6110481238621,2.73436986819509
-15.1845236206668,30.5030693287715,2.68628060513982
-15.3257092646021,30.5476429858382,2.70406843836107
-15.3391352820752,30.5769044328922,2.74873634674648
-15.4674687602476,30.5451385594169,2.68008315167688
-15.6626190602263,30.7206432371236,2.72108797075037
-15.7764868031545,30.741478987526,2.66069625011754
-15.8717960035014,30.7359045471345,2.69975391813267
-16.0048328843831,30.8713329770909,2.71646419059769
-16.1877507008092,30.8735719487498,2.75545045959633
-16.3367915984784,30.8469304388359,2.68280559623029
-16.3166776238722,30.9121416027379,2.67486165120957
-16.5104907223575,31.0002085264948,2.65184949571943
-16.689033283316,31.2094290354276,2.6291746888474
-16.7280122198929,31.261066537896,2.59153293407819
-16.7757284250754,31.4696907724775,2.60508903788722
-16.875284979844,31.42895746213,2.5335702930192
-17.157954902208,31.4300570740525,2.44040338736404
-17.1438858414359,31.5091099654397,2.46918462131104
-17.1821373131365,31.5770783356844,2.56524910512598
-17.195039899865,31.5581562769845,2.54273295974772
-17.2087162957379,31.65149583932,2.56142492473198
-17.1998881488866,31.7647818719052,2.52110216492915
-17.2498644261408,31.8598224808258,2.49032019399241
-17.3395352487664,31.9483930262098,2.45791888429665
-17.5080699873702,32.0650164132572,2.5505900036022
-17.5563875819957,32.0788703282538,2.56242121870673
-17.6860143564,32.1907641870698,2.56062966765974
-17.7411898975682,32.1249456625308,2.54497326068552
-17.8603036271253,32.0926426060657,2.53478839757578
-17.9193615968446,32.2351507929149,2.56126453892792
-17.9676896817414,32.3424956568576,2.60857692530164
-17.9920224042105,32.4493228608705,2.5883578970096
-18.1624895576764,32.4263397899685,2.5632263364067
-18.1645209318379,32.5936790873647,2.55035349147389
-18.1918241335514,32.6046302340996,2.55217477009152
-18.2311340656581,32.5505991796089,2.53392117536942
-18.1897190520306,32.5851567945321,2.42291333585634
-18.3385604155271,32.706295745602,2.41301643115617
-18.3843592079678,32.7763344316436,2.32641669372997
-18.535028428795,32.7628778838276,2.3046060343595
-18.5076658431323,32.8543505897937,2.3446218706758
-18.5915938486321,32.9175131847766,2.39603311759334
-18.5817104713691,32.92907240351,2.4429161996357
-18.8238132896609,33.0332371697822,2.55463613897746
-18.9165430917273,32.9802988987843,2.52408168777098
