theta_array,theta_org,x_array,y_array,xi_x_array,xi_y_array,fmpi_x_array,fmpi_y_array
3.93027956179596+0i,1.41918108802549+0i,-66.11476766607+0i,-66.0846092327196+0i,-0,-0,-0.0704777467648427+0i,-0.0709428446776044+0i
3.92776611937728+0i,1.41683714311394+0i,-66.1854235007845+0i,-66.1553747117386+0i,0,-0,-0.0706558347145268+0i,-0.0707654790190349+0i
3.93027946518183+0i,1.41442031482451+0i,-66.2559012544035+0i,-66.2263175496071+0i,-0,0,-0.0704777536189236+0i,-0.0709428378684579+0i
3.93279781963277+0i,1.41192501424214+0i,-66.326200125511+0i,-66.297437650289+0i,0,0,-0.0702988711075766+0i,-0.0711201006818771+0i
3.93027437131302+0i,1.40934949988968+0i,-66.3966782405026+0i,-66.3683801291521+0i,0,-0,-0.0704781149915179+0i,-0.070942478863107+0i
3.92775078456408+0i,1.40668762236856+0i,-66.4673351603842+0i,-66.4391445246688+0i,0,-0,-0.0706569198816206+0i,-0.070764395516688+0i
3.93027459815826+0i,1.40393719038363+0i,-66.5378132592827+0i,-66.5100870195195+0i,0,-0,-0.0704780988985527+0i,-0.0709424948507298+0i
3.93280378136702+0i,1.40109138940106+0i,-66.6081117063899+0i,-66.5812075393033+0i,0,0,-0.0702984471071872+0i,-0.0711205197838008+0i
3.93026912507663+0i,1.39814749097709+0i,-66.6785901935615+0i,-66.6521496484206+0i,0,0,-0.0704784871715627+0i,-0.0709421091172787+0i
3.92773395387612+0i,1.39509792456511+0i,-66.7492483044465+0i,-66.7229128547227+0i,-0,-0,-0.0706581108850728+0i,-0.0707632063020943+0i
3.93026974852753+0i,1.39193930245913+0i,-66.8197267473892+0i,-66.7938550077798+0i,-0,-0,-0.0704784429426268+0i,-0.0709421530571416+0i
3.93281135514967+0i,1.38866312638674+0i,-66.890024655843+0i,-66.8649760599867+0i,-0,0,-0.0702979084538117+0i,-0.0711210522069204+0i
3.9302638090272+0i,1.38526523267933+0i,-66.9605035201453+0i,-66.9359177944359+0i,0,0,-0.0704788643023251+0i,-0.0709417344491552+0i
3.92771528128876+0i,1.38173607058317+0i,-67.0311629523502+0i,-67.0066796813559+0i,-0,-0,-0.070659432204906+0i,-0.0707618869200101+0i
3.93026492607423+0i,1.37807049582147+0i,-67.1016417374072+0i,-67.0776214945332+0i,-0,-0,-0.0704787850570278+0i,-0.0709418131773165+0i
3.93282093336864+0i,1.3742576316654+0i,-67.1719389646448+0i,-67.1487432200656+0i,0,0,-0.0702972272375763+0i,-0.0711217255324178+0i
3.93025840361466+0i,1.37029117939631+0i,-67.2424182124155+0i,-67.2196845735464+0i,-0,-0,-0.0704792477706365+0i,-0.0709413534807818+0i
3.92769430395631+0i,1.3661587452647+0i,-67.3130791290004+0i,-67.2904449782045+0i,0,0,-0.0706609165849856+0i,-0.070760404658041+0i
3.93026014572033+0i,1.36185253994401+0i,-67.3835582531836+0i,-67.3613864544674+0i,0,0,-0.0704791241831959+0i,-0.0709414762629708+0i
3.93283304764921+0i,1.35735821683243+0i,-67.4538546188275+0i,-67.432509031595+0i,0,-0,-0.0702963656438798+0i,-0.0711225771275336+0i
3.93025288081293+0i,1.35266621136722+0i,-67.5243342583921+0i,-67.5034499958318+0i,-0,0,-0.0704796395645915+0i,-0.0709409642367883+0i
3.93283537379043+0i,1.34775990331434+0i,-67.5946304585947+0i,-67.5745727364784+0i,-0,-0,-0.0702962002025315+0i,-0.0711227406466147+0i
3.93024516580602+0i,1.342627389384+0i,-67.6651106454672+0i,-67.6455131569621+0i,0,-0,-0.0704801868725231+0i,-0.070940420483771+0i
3.92765216972223+0i,1.3372490820157+0i,-67.7357745434249+0i,-67.7162705843138+0i,-0,0,-0.0706638979577162+0i,-0.070757427351632+0i
3.93024821165176+0i,1.33161024019891+0i,-67.8062545142235+0i,-67.787211219469+0i,-0,-0,-0.0704799707986191+0i,-0.0709406351552183+0i
3.9328527721915+0i,1.32568767190639+0i,-67.8765494769934+0i,-67.8583351831463+0i,0,0,-0.0702949627699249+0i,-0.071123963677335+0i
3.93023938228173+0i,1.31946286241388+0i,-67.9470300741504+0i,-67.9292751960051+0i,0,-0,-0.07048059715699+0i,-0.0709400128587111+0i
3.92762205080565+0i,1.31290790620458+0i,-68.0176961032131+0i,-68.0000304950045+0i,-0,-0,-0.0706660290627168+0i,-0.0707552989994903+0i
3.93024367335229+0i,1.30599950416764+0i,-68.0881763959609+0i,-68.0709708102998+0i,-0,-0,-0.0704802927477403+0i,-0.0709403152952736+0i
3.93287521325032+0i,1.29870377531459+0i,-68.1584697626161+0i,-68.1420963514526+0i,-0,0,-0.0702933666551723+0i,-0.0711255411528202+0i
3.9302333290296+0i,1.29099099252499+0i,-68.2289507891896+0i,-68.2130359376732+0i,0,-0,-0.0704810265734824+0i,-0.0709395862205869+0i
3.92758591500696+0i,1.28281930638877+0i,-68.2996193750054+0i,-68.2837886830531+0i,-0,-0,-0.0706685858158194+0i,-0.0707527453798944+0i
3.93023935043029+0i,1.27415049167458+0i,-68.3700999744219+0i,-68.3547286936669+0i,0,0,-0.0704805994165311+0i,-0.070940010613803+0i
3.93290465763663+0i,1.26493214409398+0i,-68.4403912467987+0i,-68.4258563045339+0i,-0,-0,-0.0702912723767917+0i,-0.0711276108670303+0i
3.93022686730109+0i,1.25511432209949+0i,-68.5108727317631+0i,-68.4967954353238+0i,0,0,-0.0704814849643576+0i,-0.0709391307898471+0i
3.92754127052238+0i,1.24463008858839+0i,-68.5815444762283+0i,-68.5675450256706+0i,-0,-0,-0.0706717444652427+0i,-0.070749590346796+0i
3.9302353985305+0i,1.23341326239971+0i,-68.6520253559921+0i,-68.6384847577516+0i,-0,-0,-0.0704808797637938+0i,-0.0709397320809829+0i
3.93294425728217+0i,1.22137664686133+0i,-68.7223138116856+0i,-68.7096151520723+0i,0,-0,-0.0702884556935008+0i,-0.0711303943207316+0i
3.93021974373693+0i,1.20843071204567+0i,-68.7927958019876+0i,-68.780553780781+0i,0,0,-0.0704819903020188+0i,-0.0709386287086671+0i
3.92748398296391+0i,1.19445897071669+0i,-68.8634715994082+0i,-68.8512993224+0i,0,-0,-0.0706757974205662+0i,-0.07074554161901+0i
3.93023212941911+0i,1.1793375277703+0i,-68.9339527110815+0i,-68.9222388240707+0i,0,-0,-0.0704811116733036+0i,-0.0709395016707568+0i
3.9329994552886+0i,1.16290625992451+0i,-69.0042372404119+0i,-68.9933730980657+0i,0,0,-0.0702845293304615+0i,-0.0711342739949984+0i
3.93021144436932+0i,1.14498853600743+0i,-69.0747198194573+0i,-69.064311141816+0i,0,0,-0.070482579045349+0i,-0.0709380437502764+0i
3.92740658917247+0i,1.12535624751755+0i,-69.1454010919319+0i,-69.1350512133552+0i,-0,-0,-0.0706812724745876+0i,-0.070740071539214+0i
3.93023024760189+0i,1.10374815975195+0i,-69.2158823371002+0i,-69.2059905823933+0i,0,-0,-0.0704812451683545+0i,-0.0709393690380617+0i
3.93308065337036+0i,1.07982447912571+0i,-69.2861610902324+0i,-69.2771305631227+0i,0,0,-0.0702787531321743+0i,-0.0711399807294527+0i
3.93020075226562+0i,1.05317954862387+0i,-69.3566444277506+0i,-69.3480678532619+0i,-0,0,-0.0704833375182403+0i,-0.0709372901391773+0i
3.92729382807043+0i,1.02327655707466+0i,-69.4273336765043+0i,-69.4187999542532+0i,0,-0,-0.0706892487536373+0i,-0.0707321009913206+0i
3.93023167977177+0i,0.989442126724725+0i,-69.4978148200753+0i,-69.4897394242323+0i,-0,-0,-0.0704811435710543+0i,-0.0709394699791057+0i
3.9332111561396+0i,0.950755311945095+0i,-69.5680842886446+0i,-69.5608885759279+0i,0,0,-0.0702694685692544+0i,-0.0711491516955372+0i
3.93018392767711+0i,0.905982693651433+0i,-69.6385688196436+0i,-69.6318246802038+0i,0,-0,-0.0704845309989809+0i,-0.070936104275987+0i
3.92710707589909+0i,0.853332149654816+0i,-69.7092712765379+0i,-69.7025435785911+0i,0,-0,-0.0707024568943117+0i,-0.0707188983872628+0i
3.93024403724945+0i,0.790145725537324+0i,-69.7797515434706+0i,-69.773483919534+0i,0,0,-0.0704802669327561+0i,-0.0709403409428476+0i
3.93346222578901+0i,0.712055497690572+0i,-69.8500031464328+0i,-69.8446507115177+0i,-0,-0,-0.0702516029621181+0i,-0.0711667919837119+0i
3.93013986407604+0i,0.611100512816573+0i,-69.9204908030635+0i,-69.9155837099226+0i,0,-0,-0.0704876566307541+0i,-0.0709329984048674+0i
3.92667858096648+0i,0.468856754519949+0i,-69.9912235561557+0i,-69.986272306174+0i,-0,-0,-0.070732753092218+0i,-0.0706885962514134+0i
3.93040220105814+0i,0.203058489303642+0i,-70.0616926020125+0i,-70.0572237936569+0i,0,0,-0.0704690458567295+0i,-0.0709514874829425+0i
3.9343326032592-0.000411369345133612i,0+0.411369345133612i,-70.1318822423391-2.93009796960591e-05i,-70.1284517101157+2.88738647476296e-05i,0,-0,-0.0701896403266886-2.93009796960591e-05i,-0.0712279164587703+2.88738647476296e-05i
3.93035201719078-0.00064476418726541i,3.93084621728744e-06-0.648945483995359i,-70.2023548633756-7.50456808201344e-05i,-70.1993996758473+7.43120806781515e-05i,-0,-0,-0.0704726210364963-4.57447011240753e-05i,-0.0709479657316228+4.54382159305219e-05i
3.92763127888027+0.00231713432281694i,9.54072408129855e-07-0.853639640481323i,-70.2730204292054+8.89055087474043e-05i,-70.2701558169036-8.94292342989005e-05i,-0,-0,-0.0706655658297548+0.000163951189567539i,-0.070756141056246-0.000163741314977052i
3.93119563258108+0.000357539614324711i,1.00346959235979e-05-1.05523668854577i,-70.3434331622405+0.000114293459656118i,-70.3411631989484-0.000114604574639075i,0,0,-0.0704127330351447+2.53879509087138e-05i,-0.071007382044878-2.51753403401749e-05i
3.92846546549747-0.00274281534289647i,7.36340376486898e-07-1.26917775053244i,-70.4140397557047-7.99389084207896e-05i,-70.4119783399137+7.90557875863368e-05i,-0,-0,-0.0706065934641513-0.000194232368076908i,-0.0708151409653103+0.000193660362225412i
3.93189341749634-0.000298914841046413i,5.98053655649005e-06+1.51076656503462i,-70.4844029223677-0.000101178749093896i,-70.4830348362434+0.000100088381738522i,0,0,-0.0703631666630445-2.12398406731068e-05i,-0.0710564963296776+2.10325941521849e-05i
3.92757469983614-0.000538163341530057i,2.60558296459091e-06-1.80274079092002i,-70.5550723119169-0.000139254858278625i,-70.5537867993042+0.000138120052890594i,0,0,-0.0706693895491254-3.80761091847285e-05i,-0.0707519630607665+3.80316711520719e-05i
3.9320369816186-0.00109868778881755i,5.18065246570568e-06+2.19043057993177i,-70.6254253160103-0.000217334873061419i,-70.6248534362457+0.000215416008293027i,-0,0,-0.0703530040934729-7.80800147827941e-05i,-0.0710666369415157+7.72959554024336e-05i
