Alpha_0__Dr_0_1__H_0_5,Alpha_0__Dr_0_5__H_0_5,Alpha_0__Dr_0__H_0_5,Alpha_0__Dr_100__H_0_5,Alpha_0__Dr_10__H_0_5,Alpha_0__Dr_1__H_0_5,Alpha_0__Dr_5__H_0_5
1.54572232678826e-14,1.53196627081336e-14,1.49142546083073e-14,1.40744910374697e-14,1.41430474452264e-14,1.57547991540352e-14,1.51255265987518e-14
1.525093699287e-14,1.37101029290795e-14,1.42135044979929e-14,1.5287283414754e-14,1.51581206636035e-14,1.57001040145624e-14,1.46725494971886e-14
3.37298668628425e-15,5.1758629982158e-15,4.39603345248178e-15,3.49704533763885e-15,6.05869613912632e-15,5.63916766626566e-15,6.76709492724443e-15
1.44895823367356e-14,1.50112201413669e-14,1.48949720501381e-14,1.60144634885162e-14,1.5222839029816e-14,1.37885244463854e-14,1.35809725375595e-14
1.82900134859308e-14,1.7049264060679e-14,1.78039146086859e-14,1.56918959317607e-14,1.74128689369616e-14,1.66092574621322e-14,1.61531013003963e-14
1.77891019095451e-14,1.93094204835077e-14,1.85266764531399e-14,1.67255597168501e-14,1.66993495736617e-14,1.80392636689125e-14,1.59924177830616e-14
1.4622888730231e-14,1.4197319169366e-14,1.43524144098295e-14,1.62384013022131e-14,1.56425569880369e-14,1.50349683291956e-14,1.69915037279057e-14
3.65988782453093e-15,5.70903117863521e-15,4.38836187976301e-15,4.21840702241014e-15,7.09202509350152e-15,6.4938712156566e-15,7.28176750736646e-15
1.59672386198164e-14,1.57409543108823e-14,1.57724022870725e-14,1.61681869427139e-14,1.62363261461494e-14,1.46213976568605e-14,1.58437451733061e-14
2.01396455136036e-14,1.95036787670366e-14,1.8930945525236e-14,1.83095094375264e-14,1.9174790946329e-14,1.76588204857023e-14,1.86678923884179e-14
2.1108943310723e-14,2.00260483711544e-14,2.05438193270761e-14,2.04468211469711e-14,1.81144810461334e-14,1.90636582447499e-14,1.97561078739567e-14
1.06348697550954e-14,1.05141598860794e-14,9.46871789418804e-15,1.06555371802504e-14,1.11078078553682e-14,1.18613138296235e-14,1.15473493812763e-14
